Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.303340104484558,0.4468,0.9681601515769959,0.6248
2.0,0.9130609680175781,0.6426,0.8367691006660462,0.676
3.0,0.804484510421753,0.6872,0.7497168201446534,0.7072
4.0,0.7364026586532593,0.714,0.7035651741981507,0.724
5.0,0.6871911617279053,0.7478,0.7262288641691208,0.7272
6.0,0.64045551071167,0.7552,0.8228849100112915,0.686
7.0,0.6148737200737,0.7696,0.7278532760620117,0.7252
8.0,0.5777209520339965,0.7884,0.6309478669166565,0.758
9.0,0.5496978220462799,0.7976,0.6201309776306152,0.7692
10.0,0.5309415249824524,0.8024,0.6023531509399414,0.7724
11.0,0.4980172487258911,0.816,0.6095082406997681,0.7836
12.0,0.4651036454200745,0.831,0.6514398937225342,0.7636
13.0,0.4086810443401337,0.8514,0.8158819011688232,0.726
14.0,0.41090068407058716,0.845,0.6472275735855103,0.7788
15.0,0.39106392846107485,0.8582,0.6260963508844376,0.786
16.0,0.3729430736541748,0.8636,0.7499532727241516,0.7336
17.0,0.3597319405555725,0.8706,0.8169360900878906,0.7252
18.0,0.3209369662284851,0.8888,0.6449718892097474,0.792
19.0,0.30221071939468386,0.895,0.6735283899307251,0.7892
20.0,0.2811426086425781,0.8948,0.6990191534996033,0.7724
21.0,0.26613935108184816,0.9076,0.7156897096633911,0.776
22.0,0.2636310014247894,0.9088,0.7826529905319214,0.76
23.0,0.2507354657649994,0.9068,0.7890237735748291,0.7628
24.0,0.22510811803340913,0.9168,0.7464609027251601,0.7548
25.0,0.22112452702522278,0.9258,0.747087089729309,0.784
26.0,0.21769161751270294,0.9256,0.6998817181706428,0.7888
27.0,0.1975855669736862,0.929,0.7041379051208496,0.7948
28.0,0.18209824184179307,0.9356,0.739073201084137,0.7904
29.0,0.17281439526081085,0.9406,0.7270931965470314,0.7792
30.0,0.1622084040403366,0.9404,0.9194843259334564,0.7356
