Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.9554729703005747,0.322898458604799,1.9868086307156825,0.381620931716656
2.0,1.4426467753585677,0.5034959478785953,1.544510659094289,0.47989789406509253
3.0,1.1968707071471325,0.5951851263308438,1.1888200911885245,0.5998723675813656
4.0,0.9800526706039214,0.6719370729381853,0.9676722349371968,0.6668793873643906
5.0,0.8304336412464817,0.7256475448911489,0.9056874458852207,0.7064454371410338
6.0,0.7103470233425169,0.7661687589385031,0.8710884904131132,0.7166560306317805
7.0,0.6206904079450744,0.7911171142539329,0.7898509869281851,0.7543075941289088
8.0,0.5309638874615658,0.8240902590179564,0.9462059627464796,0.7128270580727505
9.0,0.4884667443713872,0.8398220244716351,0.8268054407078061,0.7447351627313338
10.0,0.41119682075639,0.8634991260130304,0.888000618179056,0.7453733248245055
11.0,0.3933532627572624,0.8675512474177658,0.830942395011863,0.7664326738991704
12.0,0.32744047552910743,0.8894803750198633,0.7732292113596265,0.7740906190172304
13.0,0.3067401163096498,0.8963928174161767,0.7101509370998584,0.8021697511167837
14.0,0.26712973139044704,0.910535515652312,0.8163218193169833,0.790044671346522
15.0,0.23941931896646926,0.9203877324010805,0.6400586928085833,0.8264199106573069
16.0,0.21841854252005238,0.9254727474972191,0.7158366945722564,0.8149329929802169
17.0,0.19086101840149708,0.9342920705545844,0.6899203181304822,0.8238672622846203
18.0,0.17804010388711175,0.9392976322898459,0.7953348442408106,0.797702616464582
19.0,0.18593790699089538,0.9358811377721278,0.6804594155056277,0.8213146139119336
20.0,0.13157140776744694,0.9555855712696647,0.7905695289278304,0.8098276962348436
21.0,0.1460255662625457,0.950421102812649,0.8421930161036727,0.8059987236758137
22.0,0.14267740971794307,0.9519307166693151,0.8762201257549278,0.8123803446075303
23.0,0.12934016432431397,0.9548704910217702,0.76401051762915,0.8238672622846203
24.0,0.1128692995208105,0.9632130939138726,0.9337578990616157,0.8002552648372687
25.0,0.11476191687229687,0.9627363737486095,0.778372833663366,0.818761965539247
26.0,0.12045156175734488,0.9609883998093119,0.8796854992162367,0.813018506700702
27.0,0.10480899860126101,0.9642459876052757,0.8966627721202244,0.8079132099553287
28.0,0.09388344040166853,0.968218655649134,0.7746614084627191,0.8289725590299937
29.0,0.09811497373713914,0.9663912283489592,0.9449643541766948,0.8098276962348436
30.0,0.10903531147900246,0.9627363737486095,0.995230770597963,0.799617102744097
