Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,4.093936567497253,0.1934,1.6095667739868165,0.2
2.0,1.6097092290878297,0.1954,1.6095013635635376,0.2
3.0,1.6096893257141114,0.1952,1.6094502639770507,0.2
4.0,1.6096224847793579,0.1788,1.6094418031692506,0.2
5.0,1.6097127143859864,0.1866,1.6094498046875,0.2
6.0,1.6097246139526367,0.1968,1.6094994743347169,0.2
7.0,1.6097206829071045,0.1898,1.6094551820755005,0.2
8.0,1.609699761199951,0.189,1.6094392518997191,0.2
9.0,1.6096398466110229,0.2,1.6094605001449585,0.2
10.0,1.6095270734786988,0.1978,1.6094471422195435,0.2
11.0,1.6096599514007568,0.1912,1.6094396991729736,0.2
12.0,1.609698936843872,0.1858,1.609439895248413,0.2
13.0,1.6095480407714844,0.1964,1.609439200401306,0.2
14.0,1.6094977153778076,0.1954,1.6094431045532227,0.2
15.0,1.609537269973755,0.202,1.6094435403823852,0.2
16.0,1.609714938735962,0.1962,1.609445599937439,0.2
17.0,1.6094973133087158,0.1934,1.6094439990997313,0.2
18.0,1.6095650156021117,0.1972,1.6094422639846802,0.2
19.0,1.609514242553711,0.1994,1.6094433498382568,0.2
20.0,1.6095590923309326,0.2014,1.6094449373245239,0.2
21.0,1.6095873512268066,0.1984,1.6094504302978516,0.2
22.0,1.6095142070770263,0.2004,1.6094537256240844,0.2
23.0,1.6096317029953002,0.186,1.6094454601287842,0.2
24.0,1.609545926475525,0.1944,1.609448173522949,0.2
25.0,1.609532785987854,0.1944,1.6094445835113524,0.2
26.0,1.6096438972473144,0.1964,1.609440938949585,0.2
27.0,1.6096819757461547,0.1942,1.6094486072540284,0.2
28.0,1.6094837724685669,0.1958,1.609443920326233,0.2
29.0,1.6096240539550781,0.1962,1.6094513484954833,0.2
30.0,1.609570846748352,0.201,1.6094439052581788,0.2
