Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,7.068950428390503,0.1998,1.6095861337661743,0.2
2.0,1.6098883646011353,0.1992,1.609031490135193,0.2
3.0,1.6189082498550416,0.2036,1.5847000734329224,0.2
4.0,1.6089715475082398,0.1988,1.6094803602218628,0.2
5.0,1.60966533203125,0.2034,1.6094567375183106,0.2
6.0,1.6097484058380127,0.1942,1.6094686950683594,0.2
7.0,1.6096595567703247,0.1944,1.6094622663497924,0.2
8.0,1.6096201490402222,0.1986,1.6094639894485474,0.2
9.0,1.609544295501709,0.1978,1.6094486196517945,0.2
10.0,1.6095929944992065,0.196,1.6094475769042969,0.2
11.0,1.6095820751190186,0.1948,1.609448268508911,0.2
12.0,1.609621981048584,0.1882,1.609448882675171,0.2
13.0,1.6095923246383668,0.1954,1.6094467596054076,0.2
14.0,1.6095109260559082,0.193,1.6094473072052002,0.2
15.0,1.60962165184021,0.1984,1.609456463432312,0.2
16.0,1.6094772424697876,0.1996,1.6094687995910644,0.2
17.0,1.609748031616211,0.1972,1.6094701040267945,0.2
18.0,1.6094137409210205,0.1976,1.6094544651031495,0.2
19.0,1.6095718872070313,0.1958,1.6094627779006958,0.2
20.0,1.6095619827270509,0.196,1.6094427532196045,0.2
21.0,1.6095064338684082,0.1994,1.6094412582397462,0.2
22.0,1.609598638534546,0.1972,1.609446576499939,0.2
23.0,1.6095290325164795,0.1844,1.609443155670166,0.2
24.0,1.6095230283737183,0.19,1.609450514984131,0.2
25.0,1.673401185798645,0.1956,1.6089701320648193,0.2
26.0,1.8524027366638183,0.1966,1.767754467010498,0.2
27.0,1.6975693214416503,0.202,1.609831798362732,0.2
28.0,1.7250916454315186,0.2008,1.8947287427902222,0.2
29.0,1.654117844390869,0.195,2.36571266708374,0.2
30.0,1.6296096727371217,0.1882,1.611005888557434,0.2
