Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,1.020812656402588,0.606,0.9754476911544799,0.6744
2.0,0.7674913816452026,0.716,0.8111750512123108,0.7068
3.0,0.6983817358016968,0.7452,1.079749168395996,0.676
4.0,0.6994927719116211,0.7428,0.6565805204391479,0.766
5.0,0.706920749092102,0.7392,0.7727626672744751,0.7288
6.0,0.6359967341184616,0.774,0.7463936897277832,0.6784
7.0,0.6029403457641601,0.7904,0.9650372999191285,0.588
8.0,0.5809162829637528,0.7908,0.7545011191368103,0.76
9.0,0.47631070289611815,0.8292,0.598574716758728,0.7624
10.0,0.5452967819213868,0.7974,0.5967801109313965,0.778
11.0,0.5304067758083344,0.8078,0.5917317838668823,0.774
12.0,0.4431347312927246,0.841,0.6056522362709046,0.75
13.0,0.48231126670837404,0.8248,0.7178159111022949,0.7448
14.0,0.46241216218471526,0.837,0.543478896188736,0.7896
15.0,0.40031434049606324,0.8528,0.7361726561546326,0.7304
16.0,0.42397831468582153,0.8464,0.4922516315937042,0.8516
17.0,0.42445116078853606,0.8478,0.5793374670982361,0.764
18.0,0.3773270453929901,0.8648,0.7165707499027252,0.7944
19.0,0.38178383252620696,0.8624,0.6751165860176086,0.7312
20.0,0.29536112632751466,0.895,0.43509848489761355,0.8464
21.0,0.33967846775054933,0.8854,0.46817039790153503,0.8268
22.0,0.3322817595481873,0.8786,0.406532475566864,0.8508
23.0,0.2974746337890625,0.896,0.7399771180152893,0.7524
24.0,0.3844051983833313,0.861,0.54342633934021,0.8032
25.0,0.3129798236846924,0.893,0.3788130058288574,0.8792
26.0,0.3064289952039719,0.8942,0.4419048937797546,0.8584
27.0,0.23304330716133118,0.9228,0.3828968237400055,0.8848
28.0,0.23365541648864746,0.9158,0.4398200833797455,0.8572
29.0,0.34343029565811156,0.8844,0.40137097887992856,0.8672
30.0,0.320447123336792,0.8938,0.6766203204154968,0.7416
