Epoch,train_loss,train_accuracy,val_loss,val_accuracy
1.0,0.9885240905761719,0.6334,0.8821887210845947,0.6848
2.0,0.7829896352767944,0.7074,0.8102397555828095,0.672
3.0,0.6923348793029785,0.7408,0.8957782784461975,0.618
4.0,0.6463739669799805,0.757,1.041265404176712,0.6936
5.0,0.6247986213684082,0.7668,0.6605518310546875,0.7716
6.0,0.5590644432544708,0.793,0.5487578897953034,0.804
7.0,0.5169842503547668,0.8098,0.5511894253253937,0.794
8.0,0.5062019795417786,0.8162,0.5938370834350586,0.7788
9.0,0.49438042469024657,0.8198,0.6131148039579392,0.7336
10.0,0.4712395758867264,0.8332,0.7734250637054443,0.7668
11.0,0.4251443121910095,0.8472,0.6556415884971619,0.7548
12.0,0.42455425833463667,0.8436,0.551837731552124,0.8236
13.0,0.38548576850891114,0.8662,0.47201933016777037,0.822
14.0,0.3588744411468506,0.869,0.5046493787765503,0.8292
15.0,0.39380057892799375,0.858,0.4382391454696655,0.8472
16.0,0.3308317348718643,0.8806,0.5465936838626861,0.8348
17.0,0.29246672582626343,0.897,0.470014428627491,0.8504
18.0,0.26421687755584716,0.9102,0.6274548902511596,0.7968
19.0,0.2836523872375488,0.8988,0.8056310163497925,0.724
20.0,0.25349866552352907,0.9066,0.6313253795653582,0.7968
21.0,0.23485832176208496,0.9156,0.48301000698655844,0.8356
22.0,0.25041220583915713,0.914,0.42729446195065973,0.8532
23.0,0.18257106997668743,0.9354,0.5569919982910156,0.8232
24.0,0.1218566225528717,0.958,0.5624878029823304,0.816
25.0,0.20052348659038544,0.9236,0.3926288152575493,0.8872
26.0,0.11401048119068145,0.9624,0.6478126382827759,0.824
27.0,0.157520698928833,0.944,0.4087421565055847,0.8712
28.0,0.11575772364139557,0.959,0.5859109310984612,0.8476
29.0,0.1621199764430523,0.942,0.4877814914703369,0.8532
30.0,0.05986386719942093,0.9806,0.4941206678390503,0.8796
